  1602
    id          xc          yc          zc         gxc         gyc         gzc         vol                 R  mean_overdensity       ellipticity      inv_porosity
   190   -152.6024   -460.6010    -63.0027   -147.8979   -468.2680    -66.3458    92504.52           28.0559            0.3020          0.376470          0.668996
   191    214.1960    306.5956     76.9966    203.6247    303.0876     79.5048   121897.85           30.7588            0.2398          0.207811          0.537948
   192   -597.8004    194.5961    242.1959   -599.0898    196.7818    232.6127   152630.25           33.1526            0.2420          0.359345          0.567887
   193    124.5964   -343.0015   -141.4024    111.5888   -349.8587   -150.4388   139964.11           32.2089            0.2610          0.425373          0.683289
   194   -488.6009    541.7946    146.9963   -474.4633    550.1178    142.5164   187621.28           35.5139            0.2433          0.247693          0.490965
   195    485.7949    527.7947    -96.6026    481.8486    521.2872    -92.5602   270028.00           40.0965            0.2218          0.538140          0.554097
   196   -569.8005    230.9960      9.7969   -569.4933    225.0733     11.7798   338736.88           43.2439            0.2654          0.500577          0.530150
   197    110.5965   -564.2006   -107.8026    113.7483   -562.3969   -113.9658   113095.22           29.9998            0.1711          0.429663          0.671157
   198    132.9964    208.5961    138.5964    135.3475    214.4424    149.0891   123039.34           30.8545            0.2296          0.458639          0.557896
   199    -63.0027    522.1947    -35.0029    -70.6483    521.8335    -46.2323   110043.93           29.7276            0.3011          0.564386          0.418549
   200     18.1969     18.1969    253.3959     13.2506     23.9332    254.0221   111514.70           29.8594            0.2864          0.508315          0.531808
   201    522.1947    600.5944     26.5969    511.7186    609.1317     46.0883   203777.73           36.5053            0.2416          0.357018          0.595339
   202   -225.4020    239.3959    110.5965   -238.1592    231.0495    106.8616   163540.25           33.9244            0.2630          0.375704          0.692193
   203   -651.0002   -480.2009   -169.4023   -648.3835   -479.3209   -170.9746    76523.66           26.3372            0.2697          0.443276          0.675796
   204    312.1956    135.7964   -214.2021    309.8647    144.7819   -202.0577   114719.65           30.1428            0.2472          0.656891          0.579175
   205    342.9955   -404.6013     40.5968    339.3361   -398.5831     61.9664   197938.58           36.1532            0.2917          0.353229          0.523625
